Title , Loops , Time(ms) , Loops/second , 
Test A1,26031,10000,2603.1,
Test A2,53866,10000,5386.6,
Test B,67123,10000,6712.3,
Test C,176429,10000,17642.9,
Test D,225740,10000,22574,
Test E,254203,10000,25420.3,
VectorTest A1,12821875,10000,1.28E+06,
VectorTest A2,12836954,10000,1.28E+06,
VectorTest B,12846663,10000,1.28E+06,
VectorTest C,12853767,10000,1.29E+06,
VectorTest D,12901756,10000,1.29E+06,
Title , Loops , Time(ms) , Loops/second , 
VectorTest A1,12415871,10000,1.24159e+06
VectorTest A2,12621366,10000,1.26214e+06
VectorTest B,12631431,10000,1.26314e+06
VectorTest C,12605343,10000,1.26053e+06
VectorTest D,12594736,10000,1.25947e+06
